timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1786341241,2026-08-10 05:54:01,2026-08-10 01:54:01,Chaiten,VIIRS375,0.07,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-08-10/05-54-01_Chaiten_VIIRS375_Latest.png,2026-08-10 04:20:59,2026-08-10 05:31:09,NO,ambos,alta,False,Validado por MIROVA latest.php
1785649682,2026-08-02 05:48:02,2026-08-02 01:48:02,Chaiten,VIIRS375,0.22,3.69,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-08-02/05-48-02_Chaiten_VIIRS375_Latest.png,2026-08-02 06:05:57,2026-08-02 08:45:56,NO,ambos,alta,False,Validado por MIROVA latest.php
1785263760,2026-07-28 18:36:00,2026-07-28 14:36:00,Chaiten,VIIRS375,0.51,4.52,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-07-28/18-36-00_Chaiten_VIIRS375_Latest.png,2026-07-28 19:35:57,2026-07-28 20:15:54,NO,ambos,alta,False,Validado por MIROVA latest.php
1784526481,2026-07-20 05:48:01,2026-07-20 01:48:01,Chaiten,VIIRS375,0.07,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-07-20/05-48-01_Chaiten_VIIRS375_Latest.png,2026-07-20 05:35:54,2026-07-20 07:16:01,NO,ambos,alta,False,Validado por MIROVA latest.php
1784441161,2026-07-19 06:06:01,2026-07-19 02:06:01,Chaiten,VIIRS375,0.06,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-07-19/06-06-01_Chaiten_VIIRS375_Latest.png,2026-07-19 07:20:59,2026-07-19 09:31:07,NO,ambos,alta,False,Validado por MIROVA latest.php
1783144081,2026-07-04 05:48:01,2026-07-04 01:48:01,Chaiten,VIIRS375,0.1,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-07-04/05-48-01_Chaiten_VIIRS375_Latest.png,2026-07-04 11:51:14,2026-07-04 15:15:51,NO,latest.php,alta,False,Validado por MIROVA latest.php
1783140842,2026-07-04 04:54:02,2026-07-04 00:54:02,Chaiten,VIIRS375,0.06,0.41,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-07-04/04-54-02_Chaiten_VIIRS375_VRP.png,2026-07-04 14:02:00,2026-07-04 14:02:00,NO,OCR,alta,False,"Estrella verde en Y=292 -> 0.41 km (límite 5.0 km, geometría medida)"
1783058761,2026-07-03 06:06:01,2026-07-03 02:06:01,Chaiten,VIIRS375,0.08,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-07-03/06-06-01_Chaiten_VIIRS375_Latest.png,2026-07-03 06:05:48,2026-07-03 06:31:10,NO,ambos,alta,False,Validado por MIROVA latest.php
1781899500,2026-06-19 20:05:00,2026-06-19 16:05:00,Chaiten,MODIS,0.46,3.16,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-06-19/20-05-00_Chaiten_MODIS_Latest.png,2026-06-19 18:20:51,2026-06-19 19:30:52,NO,latest.php,alta,False,Validado por MIROVA latest.php
1781676361,2026-06-17 06:06:01,2026-06-17 02:06:01,Chaiten,VIIRS375,0.08,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-06-17/06-06-01_Chaiten_VIIRS375_Latest.png,2026-06-17 07:21:04,2026-06-17 10:16:56,NO,ambos,alta,False,Validado por MIROVA latest.php
1781673122,2026-06-17 05:12:02,2026-06-17 01:12:02,Chaiten,VIIRS375,0.19,0.41,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Chaiten/2026-06-17/05-12-02_Chaiten_VIIRS375_VRP.png,2026-06-17 09:02:15,2026-06-17 09:02:15,NO,OCR,alta,False,"Estrella verde en Y=292 -> 0.41 km (límite 5.0 km, geometría medida)"
1781587802,2026-06-16 05:30:02,2026-06-16 01:30:02,Chaiten,VIIRS,0.18,0.0,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-06-16/05-30-02_Chaiten_VIIRS750_Latest.png,2026-06-16 06:05:56,2026-06-16 08:01:05,NO,latest.php,alta,False,Validado por MIROVA latest.php
1781587802,2026-06-16 05:30:02,2026-06-16 01:30:02,Chaiten,VIIRS375,0.15,0.75,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Chaiten/2026-06-16/05-30-02_Chaiten_VIIRS375_Latest.png,2026-06-16 06:50:56,2026-06-16 08:46:05,NO,latest.php,alta,False,Validado por MIROVA latest.php
