timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1774506960,2026-03-26 06:36:00,2026-03-26 03:36:00,Lastarria,VIIRS375,0.11,1.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-26/06-36-00_Lastarria_VIIRS375_Latest.png,2026-03-26 12:05:44,2026-03-26 17:55:45,NO,latest.php,alta,False,Validado por MIROVA latest.php
1774416961,2026-03-25 05:36:01,2026-03-25 02:36:01,Lastarria,VIIRS375,0.13,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-25/05-36-01_Lastarria_VIIRS375_Latest.png,2026-03-25 10:20:50,2026-03-25 19:15:45,NO,latest.php,alta,False,Validado por MIROVA latest.php
1774331641,2026-03-24 05:54:01,2026-03-24 02:54:01,Lastarria,VIIRS375,0.27,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-24/05-54-01_Lastarria_VIIRS375_Latest.png,2026-03-24 06:50:45,2026-03-24 19:45:48,NO,latest.php,alta,False,Validado por MIROVA latest.php
1774246321,2026-03-23 06:12:01,2026-03-23 03:12:01,Lastarria,VIIRS375,0.06,1.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-23/06-12-01_Lastarria_VIIRS375_Latest.png,2026-03-23 06:20:47,2026-03-23 19:00:46,NO,latest.php,alta,False,Validado por MIROVA latest.php
1774245240,2026-03-23 05:54:00,2026-03-23 02:54:00,Lastarria,VIIRS375,0.29,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Lastarria/2026-03-23/05-54-00_Lastarria_VIIRS375_VRP.png,2026-03-23 07:01:08,2026-03-23 07:01:08,NO,OCR,alta,False,"Estrella en Y=283 (dentro límite Y=272, dist≈2.48 km)"
1774159920,2026-03-22 06:12:00,2026-03-22 03:12:00,Lastarria,VIIRS375,0.06,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-22/06-12-00_Lastarria_VIIRS375_VRP.png,2026-03-22 17:41:29,2026-03-22 17:41:29,NO,OCR,alta,False,"Grupo píxeles rojos Y=287 (área=31 px², dist≈0.71 km)"
1774119240,2026-03-21 18:54:00,2026-03-21 15:54:00,Lastarria,VIIRS375,2.89,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lastarria/2026-03-21/18-54-00_Lastarria_VIIRS375_VRP.png,2026-03-21 20:31:17,2026-03-21 20:31:17,NO,OCR,alta,False,"Grupo píxeles rojos Y=284 (área=31 px², dist≈0.57 km)"
1774074600,2026-03-21 06:30:00,2026-03-21 03:30:00,Lastarria,VIIRS375,0.06,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-21/06-30-00_Lastarria_VIIRS375_Latest.png,2026-03-21 07:20:44,2026-03-21 19:15:45,NO,latest.php,alta,False,Validado por MIROVA latest.php
1773772200,2026-03-17 18:30:00,2026-03-17 15:30:00,Lastarria,VIIRS375,0.78,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Lastarria/2026-03-17/18-30-00_Lastarria_VIIRS375_VRP.png,2026-03-17 21:01:01,2026-03-17 21:01:01,NO,OCR,alta,False,"Grupo píxeles rojos Y=284 (área=63 px², dist≈0.57 km)"
1773728641,2026-03-17 06:24:01,2026-03-17 03:24:01,Lastarria,VIIRS375,0.12,1.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-17/06-24-01_Lastarria_VIIRS375_Latest.png,2026-03-17 06:50:48,2026-03-17 19:10:48,NO,ambos,alta,False,Validado por MIROVA latest.php
1773727560,2026-03-17 06:06:00,2026-03-17 03:06:00,Lastarria,VIIRS375,0.08,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-17/06-06-00_Lastarria_VIIRS375_VRP.png,2026-03-17 08:01:07,2026-03-17 08:01:07,NO,OCR,alta,False,"Estrella en Y=283 (dentro límite Y=272, dist≈2.48 km)"
1773642240,2026-03-16 06:24:00,2026-03-16 03:24:00,Lastarria,VIIRS375,0.09,1.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-16/06-24-00_Lastarria_VIIRS375_Latest.png,2026-03-16 08:05:48,2026-03-16 19:15:47,NO,latest.php,alta,False,Validado por MIROVA latest.php
1773381601,2026-03-13 06:00:01,2026-03-13 03:00:01,Lastarria,VIIRS375,0.16,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-13/06-00-01_Lastarria_VIIRS375_Latest.png,2026-03-13 05:35:41,2026-03-13 18:15:48,NO,latest.php,alta,False,Validado por MIROVA latest.php
1773380160,2026-03-13 05:36:00,2026-03-13 02:36:00,Lastarria,VIIRS375,0.15,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-13/05-36-00_Lastarria_VIIRS375_VRP.png,2026-03-13 06:31:19,2026-03-13 06:31:19,NO,OCR,alta,False,"Estrella en Y=277 (dentro límite Y=272, dist≈2.76 km)"
1773296281,2026-03-12 06:18:01,2026-03-12 03:18:01,Lastarria,VIIRS375,0.06,1.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-12/06-18-01_Lastarria_VIIRS375_Latest.png,2026-03-12 08:50:46,2026-03-12 19:45:50,NO,latest.php,alta,False,Validado por MIROVA latest.php
1773295200,2026-03-12 06:00:00,2026-03-12 03:00:00,Lastarria,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-12/06-00-00_Lastarria_VIIRS375_VRP.png,2026-03-12 11:31:26,2026-03-12 11:31:26,NO,OCR,alta,False,"Estrella en Y=283 (dentro límite Y=272, dist≈2.48 km)"
1773209880,2026-03-11 06:18:00,2026-03-11 03:18:00,Lastarria,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-11/06-18-00_Lastarria_VIIRS375_VRP.png,2026-03-11 11:31:03,2026-03-11 11:31:03,NO,OCR,alta,False,"Grupo píxeles rojos Y=286 (área=31 px², dist≈0.67 km)"
1773124560,2026-03-10 06:36:00,2026-03-10 03:36:00,Lastarria,VIIRS375,0.12,2.52,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-10/06-36-00_Lastarria_VIIRS375_Latest.png,2026-03-10 08:35:43,2026-03-10 17:30:51,NO,ambos,alta,False,Validado por MIROVA latest.php
1773034561,2026-03-09 05:36:01,2026-03-09 02:36:01,Lastarria,VIIRS375,0.19,2.19,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-09/05-36-01_Lastarria_VIIRS375_Latest.png,2026-03-09 06:05:44,2026-03-09 18:30:50,NO,latest.php,alta,False,Validado por MIROVA latest.php
1772949241,2026-03-08 05:54:01,2026-03-08 02:54:01,Lastarria,VIIRS375,0.1,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-08/05-54-01_Lastarria_VIIRS375_Latest.png,2026-03-08 06:50:44,2026-03-08 18:30:46,NO,ambos,alta,False,Validado por MIROVA latest.php
1772777520,2026-03-06 06:12:00,2026-03-06 03:12:00,Lastarria,VIIRS375,0.12,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-06/06-12-00_Lastarria_VIIRS375_VRP.png,2026-03-06 10:01:04,2026-03-06 10:01:04,NO,OCR,alta,False,"Grupo píxeles rojos Y=285 (área=3 px², dist≈0.62 km)"
1772692200,2026-03-05 06:30:00,2026-03-05 03:30:00,Lastarria,VIIRS375,0.05,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-05/06-30-00_Lastarria_VIIRS375_Latest.png,2026-03-05 17:05:47,2026-03-05 20:07:06,NO,latest.php,alta,False,Validado por MIROVA latest.php
1772516881,2026-03-03 05:48:01,2026-03-03 02:48:01,Lastarria,VIIRS375,0.1,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-03/05-48-01_Lastarria_VIIRS375_Latest.png,2026-03-03 06:35:45,2026-03-03 19:30:45,NO,ambos,alta,False,Validado por MIROVA latest.php
1772515440,2026-03-03 05:24:00,2026-03-03 02:24:00,Lastarria,VIIRS375,0.05,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-03/05-24-00_Lastarria_VIIRS375_VRP.png,2026-03-03 07:31:05,2026-03-03 07:31:05,NO,OCR,alta,False,"Estrella en Y=277 (dentro límite Y=272, dist≈2.76 km)"
1772431561,2026-03-02 06:06:01,2026-03-02 03:06:01,Lastarria,VIIRS375,0.08,2.7,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-02/06-06-01_Lastarria_VIIRS375_Latest.png,2026-03-02 06:05:44,2026-03-02 19:30:45,NO,latest.php,alta,False,Validado por MIROVA latest.php
1772346241,2026-03-01 06:24:01,2026-03-01 03:24:01,Lastarria,VIIRS375,0.17,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-01/06-24-01_Lastarria_VIIRS375_Latest.png,2026-03-01 06:05:41,2026-03-01 18:15:43,NO,latest.php,alta,False,Validado por MIROVA latest.php
1772345160,2026-03-01 06:06:00,2026-03-01 03:06:00,Lastarria,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-01/06-06-00_Lastarria_VIIRS375_VRP.png,2026-03-01 06:41:02,2026-03-01 06:41:02,NO,OCR,alta,False,"Estrella en Y=277 (dentro límite Y=272, dist≈2.76 km)"
1772084521,2026-02-26 05:42:01,2026-02-26 02:42:01,Lastarria,VIIRS375,0.17,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-02-26/05-42-01_Lastarria_VIIRS375_Latest.png,2026-02-26 05:51:07,2026-02-26 18:15:45,NO,latest.php,alta,False,Validado por MIROVA latest.php
