timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1787032082,2026-08-18 05:48:02,2026-08-18 01:48:02,Nevados de Chillan,VIIRS375,0.07,0.41,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Nevados_de_Chillan/2026-08-18/05-48-02_Nevados_de_Chillan_VIIRS375_VRP.png,2026-08-18 03:49:10,2026-08-18 03:49:10,NO,OCR,alta,False,"Estrella verde en Y=292 -> 0.41 km (límite 5.0 km, geometría medida)"
1784090882,2026-07-15 04:48:02,2026-07-15 00:48:02,Nevados de Chillan,VIIRS375,0.02,2.86,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados_de_Chillan/2026-07-15/04-48-02_Nevados_de_Chillan_VIIRS375_Latest.png,2026-07-15 02:51:22,2026-07-15 04:15:56,NO,latest.php,alta,False,Validado por MIROVA latest.php
1781587802,2026-06-16 05:30:02,2026-06-16 01:30:02,Nevados de Chillan,VIIRS375,0.06,0.0,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados de Chillan/2026-06-16/05-30-02_Nevados de Chillan_VIIRS375_Latest.png,2026-06-16 06:50:56,2026-06-16 08:31:10,NO,latest.php,alta,False,Validado por MIROVA latest.php
1781288281,2026-06-12 18:18:01,2026-06-12 14:18:01,Nevados de Chillan,VIIRS375,0.32,4.14,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados de Chillan/2026-06-12/18-18-01_Nevados de Chillan_VIIRS375_Latest.png,2026-06-13 00:51:01,2026-06-13 04:15:58,NO,ambos,alta,False,Validado por MIROVA latest.php
1778737682,2026-05-14 05:48:02,2026-05-14 01:48:02,Nevados de Chillan,VIIRS375,0.06,0.38,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados de Chillan/2026-05-14/05-48-02_Nevados de Chillan_VIIRS375_Latest.png,2026-05-14 09:20:58,2026-05-14 11:01:14,NO,latest.php,alta,False,Validado por MIROVA latest.php
1777699441,2026-05-02 05:24:01,2026-05-02 01:24:01,Nevados de Chillan,VIIRS375,0.03,0.0,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados de Chillan/2026-05-02/05-24-01_Nevados de Chillan_VIIRS375_Latest.png,2026-05-02 08:05:49,2026-05-02 09:30:54,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776711602,2026-04-20 19:00:02,2026-04-20 15:00:02,Nevados de Chillan,VIIRS,0.99,3.35,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados de Chillan/2026-04-20/19-00-02_Nevados de Chillan_VIIRS750_Latest.png,2026-04-20 18:05:48,2026-04-20 18:30:51,NO,latest.php,alta,False,Validado por MIROVA latest.php
1776408481,2026-04-17 06:48:01,2026-04-17 02:48:01,Nevados de Chillan,VIIRS375,0.02,2.7,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados de Chillan/2026-04-17/06-48-01_Nevados de Chillan_VIIRS375_Latest.png,2026-04-17 06:20:50,2026-04-17 17:15:55,NO,latest.php,alta,False,Validado por MIROVA latest.php
1774155241,2026-03-22 04:54:01,2026-03-22 01:54:01,Nevados de Chillan,VIIRS375,0.49,4.28,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Nevados de Chillan/2026-03-22/04-54-01_Nevados de Chillan_VIIRS375_Latest.png,2026-03-22 05:05:48,2026-03-22 06:15:45,NO,ambos,alta,False,Validado por MIROVA latest.php
1773753300,2026-03-17 13:15:00,2026-03-17 10:15:00,Nevados de Chillan,MODIS,1.06,1.41,ALERTA_TERMICA,Bajo,imagenes_satelitales/Nevados de Chillan/2026-03-17/13-15-00_Nevados de Chillan_MODIS_Latest.png,2026-03-17 12:05:46,2026-03-17 20:15:48,NO,ambos,alta,False,Validado por MIROVA latest.php
