timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1778652362,2026-05-13 06:06:02,2026-05-13 02:06:02,PlanchonPeteroa,VIIRS375,0.25,2.02,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-13/06-06-02_PlanchonPeteroa_VIIRS375_Latest.png,2026-05-13 07:36:03,2026-05-13 07:55:59,NO,latest.php,alta,False,Validado por MIROVA latest.php
1778649481,2026-05-13 05:18:01,2026-05-13 01:18:01,PlanchonPeteroa,VIIRS375,0.03,1.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-13/05-18-01_PlanchonPeteroa_VIIRS375_Latest.png,2026-05-13 06:21:03,2026-05-13 07:30:54,NO,latest.php,alta,False,Validado por MIROVA latest.php
1778567042,2026-05-12 06:24:02,2026-05-12 02:24:02,PlanchonPeteroa,VIIRS375,0.12,2.37,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-12/06-24-02_PlanchonPeteroa_VIIRS375_Latest.png,2026-05-12 06:20:54,2026-05-12 17:30:52,NO,latest.php,alta,False,Validado por MIROVA latest.php
1778564161,2026-05-12 05:36:01,2026-05-12 01:36:01,PlanchonPeteroa,VIIRS375,0.35,1.91,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-12/05-36-01_PlanchonPeteroa_VIIRS375_Latest.png,2026-05-12 05:36:03,2026-05-12 06:16:08,NO,ambos,alta,False,Validado por MIROVA latest.php
1778478841,2026-05-11 05:54:01,2026-05-11 01:54:01,PlanchonPeteroa,VIIRS375,0.25,2.02,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-11/05-54-01_PlanchonPeteroa_VIIRS375_Latest.png,2026-05-11 06:20:57,2026-05-11 07:16:04,NO,ambos,alta,False,Validado por MIROVA latest.php
1778393881,2026-05-10 06:18:01,2026-05-10 02:18:01,PlanchonPeteroa,VIIRS375,0.22,2.02,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-10/06-18-01_PlanchonPeteroa_VIIRS375_Latest.png,2026-05-10 07:35:52,2026-05-10 18:15:54,NO,ambos,alta,False,Validado por MIROVA latest.php
1778392440,2026-05-10 05:54:00,2026-05-10 01:54:00,PlanchonPeteroa,VIIRS375,0.18,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-10/05-54-00_PlanchonPeteroa_VIIRS375_VRP.png,2026-05-10 09:51:56,2026-05-10 09:51:56,NO,OCR,alta,False,"Estrella en Y=280 (dentro límite Y=272, dist≈2.62 km)"
1778390642,2026-05-10 05:24:02,2026-05-10 01:24:02,PlanchonPeteroa,VIIRS375,0.23,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-10/05-24-02_PlanchonPeteroa_VIIRS375_VRP.png,2026-05-10 08:31:53,2026-05-10 08:31:53,NO,OCR,alta,False,"Estrella en Y=280 (dentro límite Y=272, dist≈2.62 km)"
1778307480,2026-05-09 06:18:00,2026-05-09 02:18:00,PlanchonPeteroa,VIIRS375,0.06,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-09/06-18-00_PlanchonPeteroa_VIIRS375_VRP.png,2026-05-09 15:01:51,2026-05-09 15:01:51,NO,OCR,alta,False,"Grupo píxeles rojos Y=285 (área=43 px², dist≈0.62 km)"
1778305322,2026-05-09 05:42:02,2026-05-09 01:42:02,PlanchonPeteroa,VIIRS375,0.24,2.28,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-09/05-42-02_PlanchonPeteroa_VIIRS375_Latest.png,2026-05-09 07:05:52,2026-05-09 12:30:54,NO,latest.php,alta,False,Validado por MIROVA latest.php
1778305322,2026-05-09 05:42:02,2026-05-09 01:42:02,PlanchonPeteroa,VIIRS,0.18,2.37,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-09/05-42-02_PlanchonPeteroa_VIIRS750_Latest.png,2026-05-09 06:50:50,2026-05-09 08:45:53,NO,latest.php,alta,False,Validado por MIROVA latest.php
1777789800,2026-05-03 06:30:00,2026-05-03 02:30:00,PlanchonPeteroa,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-05-03/06-30-00_PlanchonPeteroa_VIIRS375_VRP.png,2026-05-03 11:02:54,2026-05-03 11:02:54,NO,OCR,alta,False,"Grupo píxeles rojos Y=286 (área=31 px², dist≈0.67 km)"
