timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1786599722,2026-08-13 05:42:02,2026-08-13 01:42:02,Puyehue-Cordon Caulle,VIIRS375,0.17,7.73,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-08-13/05-42-02_Puyehue_Cordon_Caulle_VIIRS375_Latest.png,2026-08-13 04:35:58,2026-08-13 05:31:16,NO,ambos,alta,False,Validado por MIROVA latest.php
1786597201,2026-08-13 05:00:01,2026-08-13 01:00:01,Puyehue-Cordon Caulle,VIIRS375,0.22,8.19,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-08-13/05-00-01_Puyehue_Cordon_Caulle_VIIRS375_Latest.png,2026-08-13 03:51:04,2026-08-13 04:31:04,NO,ambos,alta,False,Validado por MIROVA latest.php
1786341241,2026-08-10 05:54:01,2026-08-10 01:54:01,Puyehue-Cordon Caulle,VIIRS375,0.07,7.65,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-08-10/05-54-01_Puyehue_Cordon_Caulle_VIIRS375_Latest.png,2026-08-10 04:20:59,2026-08-10 05:31:09,NO,ambos,alta,False,Validado por MIROVA latest.php
1785305881,2026-07-29 06:18:01,2026-07-29 02:18:01,Puyehue-Cordon Caulle,VIIRS375,0.31,8.19,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-07-29/06-18-01_Puyehue_Cordon_Caulle_VIIRS375_Latest.png,2026-07-29 07:20:55,2026-07-29 20:46:02,NO,ambos,alta,False,Validado por MIROVA latest.php
1785304800,2026-07-29 06:00:00,2026-07-29 02:00:00,Puyehue-Cordon Caulle,VIIRS375,0.29,8.24,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-07-29/06-00-00_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-07-29 08:31:58,2026-07-29 08:31:58,NO,OCR,alta,False,"Estrella verde en Y=234 -> 8.24 km (límite 20.0 km, geometría medida)"
1785302642,2026-07-29 05:24:02,2026-07-29 01:24:02,Puyehue-Cordon Caulle,VIIRS,0.52,7.83,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-07-29/05-24-02_Puyehue_Cordon_Caulle_VIIRS750_Latest.png,2026-07-29 04:36:00,2026-07-29 06:31:09,NO,latest.php,alta,False,Validado por MIROVA latest.php
1785300121,2026-07-29 04:42:01,2026-07-29 00:42:01,Puyehue-Cordon Caulle,VIIRS375,0.09,8.19,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-07-29/04-42-01_Puyehue_Cordon_Caulle_VIIRS375_Latest.png,2026-07-29 04:06:03,2026-07-29 04:45:53,NO,latest.php,alta,False,Validado por MIROVA latest.php
1785047042,2026-07-26 06:24:02,2026-07-26 02:24:02,Puyehue-Cordon Caulle,VIIRS375,0.13,7.73,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-07-26/06-24-02_Puyehue_Cordon_Caulle_VIIRS375_Latest.png,2026-07-26 10:50:57,2026-07-26 21:31:01,NO,ambos,alta,False,Validado por MIROVA latest.php
1785044161,2026-07-26 05:36:01,2026-07-26 01:36:01,Puyehue-Cordon Caulle,VIIRS375,0.34,8.19,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-07-26/05-36-01_Puyehue_Cordon_Caulle_VIIRS375_Latest.png,2026-07-26 08:21:03,2026-07-26 10:45:59,NO,latest.php,alta,False,Validado por MIROVA latest.php
1785040922,2026-07-26 04:42:02,2026-07-26 00:42:02,Puyehue-Cordon Caulle,VIIRS375,0.19,8.24,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Puyehue_Cordon_Caulle/2026-07-26/04-42-02_Puyehue_Cordon_Caulle_VIIRS375_VRP.png,2026-07-26 10:02:01,2026-07-26 10:02:01,NO,OCR,alta,False,"Estrella verde en Y=234 -> 8.24 km (límite 20.0 km, geometría medida)"
