timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Color_Punto_Dist,Confianza_Validacion,Requiere_Verificacion,Metodo_Validacion,Nota_Validacion,Version_OCR
1772389800,2026-03-01 18:30:00,2026-03-01 15:30:00,Lascar,VIIRS375,0.87,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Lascar/2026-03-01/18-30-00_Lascar_VIIRS375_VRP.png,2026-03-01 19:37:31,2026-03-01 19:37:31,NO,mixto,alta,False,roi_temporal_v26,"Grupo píxeles rojos Y=288 (área=45 px², dist≈1.99 km)",21.0
1772345160,2026-03-01 06:06:00,2026-03-01 03:06:00,Lastarria,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lastarria/2026-03-01/06-06-00_Lastarria_VIIRS375_VRP.png,2026-03-01 06:41:02,2026-03-01 06:41:02,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=277 (dentro límite Y=272, dist≈2.76 km)",21.0
1772345160,2026-03-01 06:06:00,2026-03-01 03:06:00,PlanchonPeteroa,VIIRS375,0.08,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-03-01/06-06-00_PlanchonPeteroa_VIIRS375_VRP.png,2026-03-01 18:01:25,2026-03-01 18:01:25,NO,mixto,alta,False,roi_temporal_v26,"Grupo píxeles rojos Y=284 (área=31 px², dist≈0.57 km)",21.0
1772345160,2026-03-01 06:06:00,2026-03-01 03:06:00,Lascar,VIIRS,1.0,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-03-01/06-06-00_Lascar_VIIRS750_VRP.png,2026-03-01 17:01:01,2026-03-01 17:01:01,NO,mixto,alta,False,roi_temporal_v26,"Grupo píxeles rojos Y=287 (área=31 px², dist≈1.92 km)",21.0
1772344800,2026-03-01 06:00:00,2026-03-01 03:00:00,Isluga,VIIRS375,0.32,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Isluga/2026-03-01/06-00-00_Isluga_VIIRS375_VRP.png,2026-03-01 06:41:08,2026-03-01 06:41:08,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=291 (dentro límite Y=257, dist≈2.82 km)",21.0
1772329200,2026-03-01 01:40:00,2026-02-28 22:40:00,Lascar,MODIS,1.0,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lascar/2026-03-01/01-40-00_Lascar_MODIS_VRP.png,2026-03-01 00:00:59,2026-03-01 00:00:59,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=287 (dentro límite Y=257, dist≈3.08 km)",21.0
1772305921,2026-02-28 19:12:01,2026-02-28 16:12:01,Lastarria,VIIRS375,1.58,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Lastarria/2026-02-28/19-12-01_Lastarria_VIIRS375_VRP.png,2026-02-28 19:30:56,2026-02-28 19:30:56,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=361 (dentro límite Y=272, dist≈0.00 km)",21.0
1772259480,2026-02-28 06:18:00,2026-02-28 03:18:00,Isluga,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Isluga/2026-02-28/06-18-00_Isluga_VIIRS375_VRP.png,2026-02-28 08:01:06,2026-02-28 08:01:06,NO,mixto,alta,False,roi_temporal_v26,"Grupo píxeles rojos Y=285 (área=6 px², dist≈1.79 km)",21.0
1772174520,2026-02-27 06:42:00,2026-02-27 03:42:00,PlanchonPeteroa,VIIRS375,1.22,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/PlanchonPeteroa/2026-02-27/06-42-00_PlanchonPeteroa_VIIRS375_VRP.png,2026-02-27 09:01:26,2026-02-27 09:01:26,NO,mixto,alta,False,roi_temporal_v26,"Grupo píxeles rojos Y=286 (área=5 px², dist≈0.67 km)",21.0
1772174520,2026-02-27 06:42:00,2026-02-27 03:42:00,Tupungatito,VIIRS375,0.03,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Tupungatito/2026-02-27/06-42-00_Tupungatito_VIIRS375_VRP.png,2026-02-27 09:01:32,2026-02-27 09:01:32,NO,mixto,alta,False,roi_temporal_v26,"Grupo píxeles rojos Y=280 (área=29 px², dist≈2.06 km)",21.0
1772169841,2026-02-27 05:24:01,2026-02-27 02:24:01,PlanchonPeteroa,VIIRS375,0.05,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-02-27/05-24-01_PlanchonPeteroa_VIIRS375_VRP.png,2026-02-27 06:01:30,2026-02-27 06:01:30,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=280 (dentro límite Y=272, dist≈2.62 km)",21.0
1772169481,2026-02-27 05:18:01,2026-02-27 02:18:01,Isluga,VIIRS,1.0,0.0,ALERTA_TERMICA_OCR,Medio,imagenes_satelitales/Isluga/2026-02-27/05-18-01_Isluga_VIIRS750_VRP.png,2026-02-27 05:31:10,2026-02-27 05:31:10,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=271 (dentro límite Y=257, dist≈4.10 km)",21.0
