timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado
1771390441,2026-02-18 04:54:01,2026-02-18 01:54:01,Puyehue-Cordon Caulle,VIIRS375,0.52,8.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-02-18/04-54-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-02-18 06:50:42,2026-02-18 08:00:41,NO
1771313400,2026-02-17 07:30:00,2026-02-17 04:30:00,Lascar,MODIS,1.03,1.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-17/07-30-00_Lascar_MODIS_Latest.png,2026-02-17 07:20:39,2026-02-17 11:15:39,NO
1771309800,2026-02-17 06:30:00,2026-02-17 03:30:00,Tupungatito,VIIRS375,0.1,4.89,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-02-17/06-30-00_Tupungatito_VIIRS375_Latest.png,2026-02-17 07:20:39,2026-02-17 18:45:37,NO
1771304761,2026-02-17 05:06:01,2026-02-17 02:06:01,Lascar,VIIRS375,0.09,1.55,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lascar/2026-02-17/05-06-01_Lascar_VIIRS375_Latest.png,2026-02-17 05:06:38,2026-02-17 07:15:42,NO
1771219801,2026-02-16 05:30:01,2026-02-16 02:30:01,Lastarria,VIIRS375,0.04,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-02-16/05-30-01_Lastarria_VIIRS375_Latest.png,2026-02-16 05:20:42,2026-02-16 08:15:40,NO
1771219801,2026-02-16 05:30:01,2026-02-16 02:30:01,Lascar,VIIRS375,4.34,1.55,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-16/05-30-01_Lascar_VIIRS375_Latest.png,2026-02-16 05:20:42,2026-02-16 16:45:41,NO
1771219801,2026-02-16 05:30:01,2026-02-16 02:30:01,PlanchonPeteroa,VIIRS375,0.12,1.68,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-02-16/05-30-01_PlanchonPeteroa_VIIRS375_Latest.png,2026-02-16 05:20:42,2026-02-16 08:15:40,NO
1771219801,2026-02-16 05:30:01,2026-02-16 02:30:01,Lascar,VIIRS,4.03,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-16/05-30-01_Lascar_VIIRS750_Latest.png,2026-02-16 05:05:38,2026-02-16 17:30:43,NO
1771204800,2026-02-16 01:20:00,2026-02-15 22:20:00,Lascar,MODIS,1.04,1.41,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-16/01-20-00_Lascar_MODIS_Latest.png,2026-02-15 23:50:37,2026-02-16 06:00:44,NO
1771142100,2026-02-15 07:55:00,2026-02-15 04:55:00,Lascar,MODIS,0.62,1.41,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lascar/2026-02-15/07-55-00_Lascar_MODIS_Latest.png,2026-02-15 07:20:45,2026-02-15 11:45:39,NO
